dataset_id	prediction	module	group_a	group_b	n_group_a	n_group_b	mean_group_a	mean_group_b	mean_difference_a_minus_b	cohen_d	ci95_low	ci95_high	p_value	BH_FDR	label
GSE130381	chir: post-stimulation should shift canonical_wnt_output relative to time 0	canonical_wnt_output	chir_post_time_gt0	chir_time0	10	2	0.3686277035862626	-0.5998123721467234	0.968440075732986	3.853445310453848	0.802300575800027	1.1156447554637063	8.190429476865301e-07	2.948554611671508e-05	chir: canonical Wnt
GSE130381	wnt: post-stimulation should shift bmp_smad_output relative to time 0	bmp_smad_output	wnt_post_time_gt0	wnt_time0	12	2	0.3514623632519046	-1.0188430884887285	1.370305451740633	1.6842756351195296	0.9297814785932296	1.8453818534956103	0.0001601319122295	0.0014677985007233	wnt: BMP-SMAD
GSE130381	chir: post-stimulation should shift bmp_smad_output relative to time 0	bmp_smad_output	chir_post_time_gt0	chir_time0	10	2	-0.0567417810071982	-0.7345431880772165	0.6778014070700182	1.0867434298853376	0.3008778009491143	1.066438858995242	0.0098339208249291	0.0236014099798298	chir: BMP-SMAD
GSE130381	bcat: post-stimulation should shift canonical_wnt_output relative to time 0	canonical_wnt_output	bcat_post_time_gt0	bcat_time0	10	2	0.1400301874264665	-0.5132054114630795	0.653235598889546	3.511987640394893	0.501656644921159	0.8148664540434403	0.0159809273779718	0.0319618547559437	bcat: canonical Wnt
GSE130381	chir: post-stimulation should shift stemness_maintenance relative to time 0	stemness_maintenance	chir_post_time_gt0	chir_time0	10	2	-0.0036212118833214	-0.2873748929758897	0.2837536810925683	1.2737783536182783	0.1218456694944808	0.4327760502168292	0.0202681664202323	0.0364826995564183	chir: stemness score
GSE130381	bcat: post-stimulation should shift bmp_smad_output relative to time 0	bmp_smad_output	bcat_post_time_gt0	bcat_time0	10	2	0.0370237817355916	-0.25679790658744	0.2938216883230317	0.8798472263972278	0.0672076921102318	0.5133092139954534	0.0553052246713713	0.0948089565794936	bcat: BMP-SMAD
GSE130381	bcat: post-stimulation should shift stemness_maintenance relative to time 0	stemness_maintenance	bcat_post_time_gt0	bcat_time0	10	2	0.2646512124027864	-0.1347796612100406	0.3994308736128271	4.027123491993141	0.2940498716761941	0.5077105971371448	0.0682522994654695	0.1018148613100144	bcat: stemness score
GSE130381	wnt: post-stimulation should shift canonical_wnt_output relative to time 0	canonical_wnt_output	wnt_post_time_gt0	wnt_time0	12	2	-0.1453088952167548	-0.5584183001533007	0.4131094049365459	1.6743104058293814	0.2021813904182448	0.6364654987557494	0.1254654385753419	0.1613127067397254	wnt: canonical Wnt
GSE130381	wnt: post-stimulation should shift stemness_maintenance relative to time 0	stemness_maintenance	wnt_post_time_gt0	wnt_time0	12	2	-0.0959037104717649	-0.307573185580796	0.211669475109031	1.6668240173319775	0.0702382043234653	0.3573129836532363	0.2414211788822221	0.2803600787019354	wnt: stemness score
