canonical_wnt_output	bmp_smad_output	condition	time_h	spearman_rho	BH_FDR
-0.5951736345814974	-0.1892768384153704	bcat	0	0.30663164806303345	0.0957041482618313
-0.4312371883446617	-0.3243189747595097	bcat	0	0.30663164806303345	0.0957041482618313
0.2923855113879339	-0.2436010641782643	bcat	8	0.30663164806303345	0.0957041482618313
0.2815865650206205	-0.0162364583394078	bcat	8	0.30663164806303345	0.0957041482618313
-0.0448736933584192	-0.2851494626385891	bcat	16	0.30663164806303345	0.0957041482618313
0.00195789093853	-0.4243867329324183	bcat	16	0.30663164806303345	0.0957041482618313
0.0500951731303317	-0.0690020890322053	bcat	24	0.30663164806303345	0.0957041482618313
-0.1918118688349549	-0.1399084421034087	bcat	24	0.30663164806303345	0.0957041482618313
0.1534070465014068	0.260526784014048	bcat	48	0.30663164806303345	0.0957041482618313
0.103906848435092	0.1105480499793349	bcat	48	0.30663164806303345	0.0957041482618313
0.4225997868333349	0.6126954444392482	bcat	72	0.30663164806303345	0.0957041482618313
0.3310486142107891	0.5647517881475794	bcat	72	0.30663164806303345	0.0957041482618313
-0.5871945566983129	-0.7427028810425065	chir	0	0.30663164806303345	0.0957041482618313
-0.6124301875951339	-0.7263834951119266	chir	0	0.30663164806303345	0.0957041482618313
0.2841435906179071	-0.7046057434224966	chir	8	0.30663164806303345	0.0957041482618313
0.5255312029093777	-0.4165240581947502	chir	8	0.30663164806303345	0.0957041482618313
-0.1317252080799422	-0.714113432441633	chir	16	0.30663164806303345	0.0957041482618313
0.2823455343020555	-0.5491780283179375	chir	16	0.30663164806303345	0.0957041482618313
0.094724320290378	-0.4296406817026524	chir	24	0.30663164806303345	0.0957041482618313
0.239490855302823	-0.4750041419768566	chir	24	0.30663164806303345	0.0957041482618313
0.5221739925004535	0.9130314095560108	chir	48	0.30663164806303345	0.0957041482618313
0.5453296462851221	0.8392002318537943	chir	48	0.30663164806303345	0.0957041482618313
0.7692447250606379	0.3784754279165816	chir	72	0.30663164806303345	0.0957041482618313
0.5550183766738138	0.5909412066579566	chir	72	0.30663164806303345	0.0957041482618313
-0.430289261036996	-1.0401562776850208	wnt	0	0.30663164806303345	0.0957041482618313
-0.6865473392696054	-0.9975298992924356	wnt	0	0.30663164806303345	0.0957041482618313
0.150344977917908	-0.4655862468060945	wnt	8	0.30663164806303345	0.0957041482618313
0.1227885963095633	-0.5839494750972297	wnt	8	0.30663164806303345	0.0957041482618313
-0.3177370829621187	-0.1972257643035158	wnt	24	0.30663164806303345	0.0957041482618313
-0.2866515941649898	-0.3854995056826162	wnt	24	0.30663164806303345	0.0957041482618313
-0.2884805268160884	-0.3936927978896264	wnt	48	0.30663164806303345	0.0957041482618313
-0.3051431776355936	-0.2968805589949528	wnt	48	0.30663164806303345	0.0957041482618313
-0.0341111957881578	0.6927852581047024	wnt	72	0.30663164806303345	0.0957041482618313
-0.0341111957881578	0.6927852581047024	wnt	72	0.30663164806303345	0.0957041482618313
-0.6295031209164419	0.9468229204757288	wnt	96	0.30663164806303345	0.0957041482618313
-0.3570292667830104	0.7388201985400829	wnt	96	0.30663164806303345	0.0957041482618313
0.1219871720589838	1.6443392816967606	wnt	120	0.30663164806303345	0.0957041482618313
0.1139396719670455	1.824829790874915	wnt	120	0.30663164806303345	0.0957041482618313
